sunnyherring1,"Old #SaulAlinsky Followr #HillaryClinton-PolAnimal,Plutocrat,Serial Incompetnt Hires MObama #Image Consul=HOW 2B COMMON #Woman!#Conservative"
TSRLA,"RT @ForgottenProf: @Sweet_Me_Lissa #Starbucks has lost alot of #Conservative and some #Liberal #Customers for Life I'm sure, wrong place to…"
BillBunkley,My radio show begins NOW #Christian #Conservative #Worldview #ReligiousLiberty http://t.co/1eXJnWwqNO Tampa WTBN 570-910AM
Reecefox,The #Tories will create 1000 jobs a day if re-elected. Make sure you vote #Conservative http://t.co/rpxulNkRb3 http://t.co/GsXxnJk6XH
FloridaERLC,My radio show begins NOW #Christian #Conservative #Worldview #ReligiousLiberty http://t.co/F8akJh2gb4 Tampa WTBN 570-910AM
RachCunningham1,Favourite pic of #election2015 so far #Cameron #campaign #conservative #shutup https://t.co/N4oTJkqQAB
Grado779,"RT @RedHotSquirrel: This #Conservative-led government allowed 624,000 people to enter the #UK as long-term migrants in the year to Septembe…"
badd_andy,RT @TheNewChisel: #Liberal journalists constantly interrupting #Conservative guests #tcot source: http://t.co/mXdXT3SHfi http://t.co/bNQ5YP…
wakebakenbike,"@ScottWalker I prefer 100 ""undocumented ""illegals"""" to ONE #RWNJ #Conservative #Republican like yourself!"
MicheleMcAvoy,RT @RedHotSquirrel: This #Conservative-led government #doubled the national public #debt.
RedStateRadio,#nowplaying Stanley Levy - Black Man Thinkin' - 040615 H1 #tcot #talkradio #teaparty #conservative
GrayShadowTech,"@CPT_Jack_Wigal @pizzmoe @GrnEyedMandy @princss6 @valleylea And I advise EVERYONE to vote, #Liberal &amp; #Conservative. It’s our duty."
Peter_Mun,RT @RedHotSquirrel: This #Conservative-led government #doubled the national public #debt.
ae_parry,RT @RedHotSquirrel: This #Conservative-led government #doubled the national public #debt.
MarkTyrrellUKIP,RT @RedHotSquirrel: This #Conservative-led government #doubled the national public #debt.
Nick_1453,"RT @RedHotSquirrel: This #Conservative-led government allowed 624,000 people to enter the #UK as long-term migrants in the year to Septembe…"
iancooper336,"RT @RedHotSquirrel: This #Conservative-led government allowed 624,000 people to enter the #UK as long-term migrants in the year to Septembe…"
pugwash1000,"RT @RedHotSquirrel: This #Conservative-led government allowed 624,000 people to enter the #UK as long-term migrants in the year to Septembe…"
ruby_redsky,RT @scarletmonahan: #cameron in exfoliation shock http://t.co/S81R4oy9 #conservative #coalition #evil #horror #Thatcher #zombie #liar #rt
SurfaceSkimmer,"RT @RedHotSquirrel: This #Conservative-led government allowed 624,000 people to enter the #UK as long-term migrants in the year to Septembe…"
MarkTyrrellUKIP,"RT @RedHotSquirrel: This #Conservative-led government allowed 624,000 people to enter the #UK as long-term migrants in the year to Septembe…"
AmPolGossip,"Wisconsin Preacher Tells Members How To Vote   http://t.co/XurJRvPSF6
  #conservative #vote #wisconsin"
goodloyaldog,RT @TheNewChisel: #Liberal journalists constantly interrupting #Conservative guests #tcot source: http://t.co/mXdXT3SHfi http://t.co/bNQ5YP…
CllrTommyCooney,@Marsden_matters great day on the #torydoorstep 51 #conservative VI on one street voters leaving @PendleLabour in droves
k8sietoo,RT @crazylary51: #AmericanSniper IT'S ONLY MOVIE!!   HERE THIS WILL HELP YOU!! RWNJ'S!! and #Conservative NUT JOBS http://t.co/ghh0YJBHHr @…
Iam4light1Karen,RT @jsgaetano: Reason @rahmemanuel almost lost as Chicago Mayor was same reason he was kicked from White House: he's too much of a #Conserv…
BennieWiley,"@w0z75 what s ticket. Two real #Conservative republican  nut jobs w/goals of #war,chaos, destruction of #middleclass #wisconsin #GOPWantsWar"
HACKEDOFF_VOTER,"RT @RedHotSquirrel: This #Conservative-led has failed to deal with the #housing crisis, caused in large part by high demand and low supply."
jsgaetano,Reason @rahmemanuel almost lost as Chicago Mayor was same reason he was kicked from White House: he's too much of a #Conservative.
HACKEDOFF_VOTER,"RT @RedHotSquirrel: This #Conservative-led government allowed 624,000 people to enter the #UK as long-term migrants in the year to Septembe…"
HACKEDOFF_VOTER,RT @RedHotSquirrel: This #Conservative-led government #doubled the national public #debt.
RockFanaticRock,In the world of UK politics! #rock #metal #politics #uk #labour #conservative #muppet #puppet… https://t.co/6FiLh3lPEX
VoterGravity,The latest on Rand Paul's presidential #campaign-- a #libertarian #conservative http://t.co/UuhvFgpUtZ via @WSJ http://t.co/G7myKpAOXt
KingIvan,RT @crazylary51: #AmericanSniper IT'S ONLY MOVIE!!   HERE THIS WILL HELP YOU!! RWNJ'S!! and #Conservative NUT JOBS http://t.co/ghh0YJBHHr @…
robdan54,RT @votebobblackman: Pleased to welcome my chum @EricPickles to #HarrowEast to assist in #GE2015 campaign. #Conservative #conhold http://t.…
NGoidie,"RT @AlanaBowker: #PeaceRiver #Westlock

Thanks for voting #Conservative
#Harper added $176 Billion in debt during an #Oil boom."
Iservedrinks,RT @crazylary51: #AmericanSniper IT'S ONLY MOVIE!!   HERE THIS WILL HELP YOU!! RWNJ'S!! and #Conservative NUT JOBS http://t.co/ghh0YJBHHr @…
