jcags,"RT @Sargon_of_Akkad: As an indie developer, the blocklist is used as a blacklist against me #AreYouBlocked http://t.co/3ImDR7mhau #GamerGate"
crash_matrix,RT @GameDiviner: Just got an email message from Hugo nominated Sci-Fi writer John C. Wright to #GamerGate! #SadPuppies http://t.co/1sJX1rDt…
GG_SunTzu,"RT @Max_x_Milia: The SJWs are not even hiding it any more.
Males are not welcome in Sci-Fi.
#SadPuppies #GamerGate http://t.co/7xdlUWeNQC"
BeanoSimmons,RT @_icze4r: what if anti-#GamerGate are actually cenobites
OurLastSandwich,"RT @theLEOpirate: ""The effects are quite serious and reinforce harmful myths about sexual violence.""
""When did I say gaming makes you sexis…"
Somewhat8,"RT @PwnParrot: These were goals drafted at the beginning of #GamerGate

Make them happen

http://t.co/o5tr3HNBIG"
Rathgrith027_SL,RT @GameDiviner: Just got an email message from Hugo nominated Sci-Fi writer John C. Wright to #GamerGate! #SadPuppies http://t.co/1sJX1rDt…
ViktoriaCsendes,"RT @Prototype_No_07: @ViktoriaCsendes @AneiDoru @ParvaSaeua

Not a troll. Having followed #GamerGate for months, there's no limit how crazy…"
KevinDahmer,"RT @MyshkinChu: #GamerGate ad list

Google Android Wear

7 apr Polygon
http://t.co/pbzMC4w0JP &amp;more

list at: http://t.co/qhg7GZi00K http:/…"
nmlss777,"El señor (pez) @Freakcion está preparando una serie de artículos sobre el #GamerGate que pintan muy bien. ¡Ojo!
http://t.co/qmMa0wWpHU"
atlasnodded,RT @WilliamUsherGB: FBI is investigating #Gamergate. Lets help them by compiling a repository of the worst illegal and immoral behaviour ht…
TechyFolks,"@VK_HM @Sepko01 @kvg1988 yes, there are more serious issues, which we talk about separately to #GamerGate!"
ItalyGG,"@alasdairfraser8 ""fuck the evidence, I just want to believe things aganst #GamerGate"" you're no different hant SJWs then. Goodbye."
jcags,"RT @Laroquod: Watch 2 women do to this man EXACTLY what they complain men do to women, AS they are complaining about it. #GamerGate http://…"
Cyborgwolf,"RT @colepram: #GamerGate

I just supported #GetEmHereFBI awareness launch on @ThunderclapIt // @ross_lumbus http://t.co/vHYEeQCv0z"
InvisibleJimBSH,"RT @TheCaelondian: Pre-orders?
Generally a bad idea, especially for digital purchases:
No limited quantities. ;]
#OpBuyWise #GamerGate http…"
XImpactxGamesX,RT @chrisvcsefalvay: Perhaps one good thing about #gamergate is this: lots of young are learning that THE MEDIA IS NOT YOUR FRIEND.
The_PeteRiarchy,"Wtf kind of fascism is this? What the fuck kind of game journalist says shit like this about games? #GamerGate
https://t.co/EsCvjzCFLc"
KevinDahmer,RT @worldlystone: Are you ready? #OpSKYNET #GamerGate #OpEarthquake http://t.co/BUpf2vFweV
PackurBaggins,"RT @Laroquod: Watch 2 women do to this man EXACTLY what they complain men do to women, AS they are complaining about it. #GamerGate http://…"
